GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC058822.1	ENSG00000282278	ENST00000507166	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
AC092794.2	ENSG00000275197	ENST00000620933		0	0	0	1	0	0	0	0	1	0	0	0	0
ALK	ENSG00000171094	ENST00000389048	protein_coding	0	0	1	1	0	0	1	1	0	0	0	0	0
ALK	ENSG00000171094	ENST00000618119	protein_coding	0	0	0	2	1	0	1	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367921	protein_coding	0	1	1	3	0	0	3	1	0	0	1	1	0
DDR2	ENSG00000162733	ENST00000367922	protein_coding	0	1	1	3	0	0	3	1	0	0	1	1	0
DDR2	ENSG00000162733	ENST00000415555	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000433757	retained_intron	0	1	0	2	0	0	1	0	2	0	1	0	0
DDR2	ENSG00000162733	ENST00000446985	protein_coding	0	1	1	3	0	0	3	1	0	0	1	1	0
DDR2	ENSG00000162733	ENST00000458105	retained_intron	0	1	0	2	0	0	0	0	3	0	1	0	0
DDR2	ENSG00000162733	ENST00000671979	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000672207	processed_transcript	0	1	0	4	0	0	3	0	2	0	1	0	0
ERBB2	ENSG00000141736	ENST00000269571	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000406381	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000445658	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000541774	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000578373	nonsense_mediated_decay	0	0	0	1	0	0	1	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000578630	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000580074	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000582818	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000583038	retained_intron	0	0	0	1	0	0	0	0	1	0	0	0	0
ERBB2	ENSG00000141736	ENST00000584450	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000584601	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000584888	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000326324	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000335922	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000341462	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000356207	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397091	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397103	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397108	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397113	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000425967	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000447712	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000466021	retained_intron	0	0	0	2	0	2	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000487647	nonsense_mediated_decay	0	0	0	2	0	2	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000524528	retained_intron	0	0	0	2	0	2	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000526570	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000526688	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2
FGFR1	ENSG00000077782	ENST00000527114	retained_intron	0	0	0	2	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000527745	retained_intron	0	0	0	2	0	2	0	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000531196	nonsense_mediated_decay	1	0	0	1	0	0	2	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000532791	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000533619	retained_intron	0	0	0	2	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000619564	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000649678	nonsense_mediated_decay	0	0	0	2	0	0	2	0	0	0	0	0	0
KRAS	ENSG00000133703	ENST00000256078	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
KRAS	ENSG00000133703	ENST00000311936	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
KRAS	ENSG00000133703	ENST00000557334	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
LETM2	ENSG00000165046	ENST00000523268	nonsense_mediated_decay	0	0	0	1	0	1	0	0	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000394231	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000469568	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000474210	processed_transcript	0	0	0	1	0	1	0	0	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000498164	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000577810	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000582963	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0	0
MIR4728	ENSG00000265178	ENST00000580969	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	1
PDGFRA	ENSG00000134853	ENST00000257290	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000507536	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000509490	nonsense_mediated_decay	0	0	0	1	0	1	0	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000263967	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000468036	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000477735	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000643187	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
