GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC058822.1	ENSG00000282278	ENST00000507166	protein_coding	0	0	1	0	0	0	1	0	0	0	0
AC074096.1	ENSG00000286963	ENST00000655343		0	0	1	0	0	0	1	0	0	0	0
AC092794.2	ENSG00000275197	ENST00000620933		0	0	1	0	1	0	0	0	0	0	0
AL132671.2	ENSG00000282218	ENST00000467125	protein_coding	0	0	5	0	0	0	5	0	0	0	0
ALK	ENSG00000171094	ENST00000389048	protein_coding	0	0	1	0	0	0	1	0	0	0	0
ALK	ENSG00000171094	ENST00000618119	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000288602	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000469930	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000496384	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000497784	nonsense_mediated_decay	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000642228	nonsense_mediated_decay	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000642272	retained_intron	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000642808	processed_transcript	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000643790	processed_transcript	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000644905	retained_intron	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000644969	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000646730	nonsense_mediated_decay	0	0	1	0	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000646891	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	1	0	0	0	0	1	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000470094	nonsense_mediated_decay	0	0	1	0	0	0	0	1	0	0	0
BRCA2	ENSG00000139618	ENST00000528762	nonsense_mediated_decay	0	0	1	0	1	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	1	0	0	0	0	1	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000665585	nonsense_mediated_decay	0	0	2	1	0	0	0	1	0	0	0
BRCA2	ENSG00000139618	ENST00000666593	nonsense_mediated_decay	0	0	1	0	0	0	0	1	0	0	0
DDR2	ENSG00000162733	ENST00000367921	protein_coding	0	0	3	0	0	0	3	0	0	0	0
DDR2	ENSG00000162733	ENST00000367922	protein_coding	0	0	3	0	0	0	3	0	0	0	0
DDR2	ENSG00000162733	ENST00000415555	protein_coding	0	0	1	0	1	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000433757	retained_intron	0	0	1	0	0	0	1	0	0	0	0
DDR2	ENSG00000162733	ENST00000446985	protein_coding	0	0	3	0	0	0	3	0	0	0	0
DDR2	ENSG00000162733	ENST00000458105	retained_intron	0	0	1	0	0	0	0	1	0	0	0
DDR2	ENSG00000162733	ENST00000672207	processed_transcript	0	0	2	0	0	0	2	0	0	0	0
EGFR	ENSG00000146648	ENST00000275493	protein_coding	0	1	7	0	0	0	7	0	0	1	0
EGFR	ENSG00000146648	ENST00000342916	protein_coding	0	0	6	0	2	0	4	0	0	0	0
EGFR	ENSG00000146648	ENST00000344576	protein_coding	0	0	6	0	2	0	4	0	0	0	0
EGFR	ENSG00000146648	ENST00000420316	protein_coding	0	0	2	0	0	0	2	0	0	0	0
EGFR	ENSG00000146648	ENST00000450046	protein_coding	0	0	1	0	0	0	1	0	0	0	0
EGFR	ENSG00000146648	ENST00000454757	protein_coding	0	1	7	0	0	0	7	0	0	1	0
EGFR	ENSG00000146648	ENST00000455089	protein_coding	0	1	7	0	0	0	7	0	0	1	0
EGFR	ENSG00000146648	ENST00000638463	protein_coding	0	0	7	1	0	0	6	0	0	0	0
EGFR-AS1	ENSG00000224057	ENST00000442411		0	0	2	0	0	0	0	2	0	0	0
ERBB2	ENSG00000141736	ENST00000269571	protein_coding	0	0	3	0	0	0	3	0	0	0	0
ERBB2	ENSG00000141736	ENST00000406381	protein_coding	0	0	3	0	0	0	3	0	0	0	0
ERBB2	ENSG00000141736	ENST00000445658	protein_coding	0	0	3	0	0	0	3	0	0	0	0
ERBB2	ENSG00000141736	ENST00000541774	protein_coding	0	0	3	0	0	0	3	0	0	0	0
ERBB2	ENSG00000141736	ENST00000578373	nonsense_mediated_decay	0	0	3	0	0	0	3	0	0	0	0
ERBB2	ENSG00000141736	ENST00000578630	retained_intron	0	0	3	0	3	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000580074	protein_coding	0	0	3	0	2	0	1	0	0	0	0
ERBB2	ENSG00000141736	ENST00000582818	protein_coding	0	0	3	0	3	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000583038	retained_intron	0	0	3	0	0	0	1	2	0	0	0
ERBB2	ENSG00000141736	ENST00000584450	protein_coding	0	0	3	0	0	0	3	0	0	0	0
ERBB2	ENSG00000141736	ENST00000584601	protein_coding	0	0	3	0	0	0	3	0	0	0	0
ERBB2	ENSG00000141736	ENST00000584684	retained_intron	0	0	1	0	1	0	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000584888	processed_transcript	0	0	3	0	0	0	0	0	0	0	3
IFIT1P1	ENSG00000215515	ENST00000400497	processed_pseudogene	0	0	1	0	0	0	0	0	0	0	1
KRAS	ENSG00000133703	ENST00000256078	protein_coding	0	0	1	0	0	0	1	0	0	0	0
KRAS	ENSG00000133703	ENST00000311936	protein_coding	0	0	1	0	0	0	1	0	0	0	0
KRAS	ENSG00000133703	ENST00000557334	protein_coding	0	0	1	0	0	0	1	0	0	0	0
MET	ENSG00000105976	ENST00000318493	protein_coding	0	0	1	0	0	0	1	0	0	0	0
MET	ENSG00000105976	ENST00000397752	protein_coding	0	0	1	0	0	0	1	0	0	0	0
MIEN1	ENSG00000141741	ENST00000394231	protein_coding	0	0	3	0	3	0	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000469568	retained_intron	0	0	3	0	3	0	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000474210	processed_transcript	0	0	3	0	3	0	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000498164	retained_intron	0	0	3	0	3	0	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000577810	protein_coding	0	0	3	0	3	0	0	0	0	0	0
