GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_conservative_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC058822.1	ENSG00000282278	ENST00000507166	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
AC087623.1	ENSG00000255201	ENST00000528407		0	0	0	1	0	0	1	0	0	0	0	0	0
AC092794.2	ENSG00000275197	ENST00000620933		0	0	0	1	0	0	0	0	0	1	0	0	0
AL132671.2	ENSG00000282218	ENST00000467125	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
AL359922.1	ENSG00000264545	ENST00000404796	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0
ALK	ENSG00000171094	ENST00000389048	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
ALK	ENSG00000171094	ENST00000618119	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000288602	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000479537	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000496384	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000497784	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000642228	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000642272	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000642875	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000643356	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000644120	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000644650	nonsense_mediated_decay	0	0	0	2	0	0	0	1	0	0	0	0	1
BRAF	ENSG00000157764	ENST00000644905	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0
BRAF	ENSG00000157764	ENST00000644969	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000646730	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000646891	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000647434	nonsense_mediated_decay	0	0	0	2	0	0	0	1	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000304494	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0
CDKN2A	ENSG00000147889	ENST00000380150	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0
CDKN2A	ENSG00000147889	ENST00000380151	nonsense_mediated_decay	0	0	0	2	1	0	0	0	0	1	0	0	0
