GeneName	GeneId	TranscriptId	BioType	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_upstream_gene_variant
AC074096.1	ENSG00000286963	ENST00000655343		0	2	0	0	2	0	0	0
AC087623.1	ENSG00000255201	ENST00000528407		0	2	0	1	0	0	0	1
AL132671.2	ENSG00000282218	ENST00000467125	protein_coding	0	3	0	0	3	0	0	0
ALK	ENSG00000171094	ENST00000389048	protein_coding	0	2	0	0	2	0	0	0
ALK	ENSG00000171094	ENST00000618119	protein_coding	0	2	0	0	2	0	0	0
BRAF	ENSG00000157764	ENST00000288602	protein_coding	0	1	0	0	1	0	0	0
BRAF	ENSG00000157764	ENST00000496384	protein_coding	0	1	0	0	1	0	0	0
BRAF	ENSG00000157764	ENST00000497784	nonsense_mediated_decay	0	1	0	0	1	0	0	0
BRAF	ENSG00000157764	ENST00000642228	nonsense_mediated_decay	0	1	0	0	1	0	0	0
BRAF	ENSG00000157764	ENST00000642272	retained_intron	0	1	0	0	1	0	0	0
BRAF	ENSG00000157764	ENST00000642875	retained_intron	0	1	0	0	1	0	0	0
BRAF	ENSG00000157764	ENST00000643356	retained_intron	0	1	0	0	0	0	1	0
BRAF	ENSG00000157764	ENST00000644120	processed_transcript	0	1	0	0	1	0	0	0
BRAF	ENSG00000157764	ENST00000644650	nonsense_mediated_decay	0	1	0	0	0	0	0	1
BRAF	ENSG00000157764	ENST00000644905	retained_intron	0	1	0	0	1	0	0	0
BRAF	ENSG00000157764	ENST00000644969	protein_coding	0	1	0	0	1	0	0	0
BRAF	ENSG00000157764	ENST00000646730	nonsense_mediated_decay	0	1	0	0	1	0	0	0
BRAF	ENSG00000157764	ENST00000646891	protein_coding	0	1	0	0	1	0	0	0
BRAF	ENSG00000157764	ENST00000647434	nonsense_mediated_decay	0	1	0	0	0	0	0	1
EGFR	ENSG00000146648	ENST00000275493	protein_coding	0	3	0	0	3	0	0	0
EGFR	ENSG00000146648	ENST00000342916	protein_coding	0	3	0	1	2	0	0	0
EGFR	ENSG00000146648	ENST00000344576	protein_coding	0	3	0	1	2	0	0	0
EGFR	ENSG00000146648	ENST00000454757	protein_coding	0	3	0	0	3	0	0	0
EGFR	ENSG00000146648	ENST00000455089	protein_coding	0	3	0	0	3	0	0	0
EGFR	ENSG00000146648	ENST00000638463	protein_coding	0	3	0	0	3	0	0	0
FGFR1	ENSG00000077782	ENST00000326324	protein_coding	1	2	0	0	2	1	0	0
FGFR1	ENSG00000077782	ENST00000335922	protein_coding	1	2	0	0	2	1	0	0
FGFR1	ENSG00000077782	ENST00000341462	protein_coding	0	3	1	0	2	0	0	0
FGFR1	ENSG00000077782	ENST00000356207	protein_coding	1	2	0	0	2	1	0	0
FGFR1	ENSG00000077782	ENST00000397090	retained_intron	0	1	0	0	1	0	0	0
