GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC087623.1	ENSG00000255201	ENST00000528407		0	0	2	0	0	0	0	0	2	0	0
AC092794.2	ENSG00000275197	ENST00000620933		0	0	1	0	0	0	0	0	1	0	0
AL132671.2	ENSG00000282218	ENST00000467125	protein_coding	0	0	7	0	0	0	7	0	0	0	0
ALK	ENSG00000171094	ENST00000389048	protein_coding	0	0	2	0	0	0	2	0	0	0	0
ALK	ENSG00000171094	ENST00000618119	protein_coding	0	0	2	0	0	0	2	0	0	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000470094	nonsense_mediated_decay	0	0	1	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000533776	retained_intron	0	0	1	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000665585	nonsense_mediated_decay	0	0	1	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000666593	nonsense_mediated_decay	0	0	1	0	0	1	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367921	protein_coding	0	0	1	0	0	0	1	0	0	0	0
DDR2	ENSG00000162733	ENST00000367922	protein_coding	0	0	1	0	0	0	1	0	0	0	0
DDR2	ENSG00000162733	ENST00000415555	protein_coding	0	0	1	0	0	1	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000446985	protein_coding	0	0	1	0	0	0	1	0	0	0	0
DDR2	ENSG00000162733	ENST00000671979	protein_coding	0	0	1	0	0	1	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000672207	processed_transcript	0	0	1	0	0	0	1	0	0	0	0
EGFR	ENSG00000146648	ENST00000275493	protein_coding	1	0	3	0	0	0	3	0	0	1	0
EGFR	ENSG00000146648	ENST00000342916	protein_coding	0	0	2	0	0	1	1	0	0	0	0
EGFR	ENSG00000146648	ENST00000344576	protein_coding	0	0	2	0	0	1	1	0	0	0	0
EGFR	ENSG00000146648	ENST00000454757	protein_coding	1	0	3	0	0	0	3	0	0	1	0
EGFR	ENSG00000146648	ENST00000455089	protein_coding	1	0	3	0	0	0	3	0	0	1	0
EGFR	ENSG00000146648	ENST00000638463	protein_coding	0	0	4	1	0	0	3	0	0	0	0
EGFR-AS1	ENSG00000224057	ENST00000442411		0	0	2	0	0	0	0	0	2	0	0
ERBB2	ENSG00000141736	ENST00000269571	protein_coding	0	0	1	0	0	0	1	0	0	0	0
ERBB2	ENSG00000141736	ENST00000406381	protein_coding	0	0	1	0	0	0	1	0	0	0	0
ERBB2	ENSG00000141736	ENST00000445658	protein_coding	0	0	1	0	0	0	1	0	0	0	0
ERBB2	ENSG00000141736	ENST00000541774	protein_coding	0	0	1	0	0	0	1	0	0	0	0
ERBB2	ENSG00000141736	ENST00000578373	nonsense_mediated_decay	0	0	1	0	0	0	1	0	0	0	0
ERBB2	ENSG00000141736	ENST00000578630	retained_intron	0	0	1	0	0	1	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000580074	protein_coding	0	0	1	0	0	1	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000582818	protein_coding	0	0	1	0	0	1	0	0	0	0	0
ERBB2	ENSG00000141736	ENST00000583038	retained_intron	0	0	1	0	0	0	0	0	1	0	0
ERBB2	ENSG00000141736	ENST00000584450	protein_coding	0	0	1	0	0	0	1	0	0	0	0
ERBB2	ENSG00000141736	ENST00000584601	protein_coding	0	0	1	0	0	0	1	0	0	0	0
ERBB2	ENSG00000141736	ENST00000584888	processed_transcript	0	0	1	0	0	0	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000326324	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000335922	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000341462	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000356207	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397090	retained_intron	0	0	2	0	0	2	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397091	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397103	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397108	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397113	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000413133	protein_coding	0	0	2	0	0	2	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000425967	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000434187	protein_coding	0	0	2	0	0	2	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000447712	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000464163	retained_intron	0	0	2	0	0	0	0	0	0	0	2
FGFR1	ENSG00000077782	ENST00000466021	retained_intron	0	0	2	0	0	0	0	0	0	0	2
FGFR1	ENSG00000077782	ENST00000470826	retained_intron	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000474970	retained_intron	0	0	2	0	0	2	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000475621	retained_intron	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000484370	nonsense_mediated_decay	0	0	2	0	0	2	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000487647	nonsense_mediated_decay	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000496296	retained_intron	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000525001	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000526570	retained_intron	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000526742	protein_coding	0	0	2	0	0	2	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000527203	processed_transcript	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000529552	protein_coding	0	0	2	0	0	2	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000530568	protein_coding	0	0	2	0	0	2	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000530701	processed_transcript	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000532386	retained_intron	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000532791	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000533668	protein_coding	0	0	2	0	0	0	2	0	0	0	0
