GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC058822.1	ENSG00000282278	ENST00000507166	protein_coding	0	0	1	0	1	0	0	0	0	0
AC074096.1	ENSG00000286963	ENST00000655343		0	0	1	0	1	0	0	0	0	0
AC087623.1	ENSG00000255201	ENST00000528407		0	0	2	1	0	0	0	0	0	1
ALK	ENSG00000171094	ENST00000389048	protein_coding	0	0	1	0	1	0	0	0	0	0
ALK	ENSG00000171094	ENST00000618119	protein_coding	0	0	1	0	1	0	0	0	0	0
CSDE1	ENSG00000009307	ENST00000261443	protein_coding	0	0	1	1	0	0	0	0	0	0
CSDE1	ENSG00000009307	ENST00000339438	protein_coding	0	0	1	1	0	0	0	0	0	0
CSDE1	ENSG00000009307	ENST00000358528	protein_coding	0	0	1	1	0	0	0	0	0	0
CSDE1	ENSG00000009307	ENST00000369530	protein_coding	0	0	1	1	0	0	0	0	0	0
CSDE1	ENSG00000009307	ENST00000438362	protein_coding	0	0	1	1	0	0	0	0	0	0
CSDE1	ENSG00000009307	ENST00000483407	processed_transcript	0	0	1	1	0	0	0	0	0	0
CSDE1	ENSG00000009307	ENST00000530886	protein_coding	0	0	1	1	0	0	0	0	0	0
CSDE1	ENSG00000009307	ENST00000534699	protein_coding	0	0	1	1	0	0	0	0	0	0
CSDE1	ENSG00000009307	ENST00000610726	protein_coding	0	0	1	1	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367921	protein_coding	1	1	1	0	1	1	0	0	1	0
DDR2	ENSG00000162733	ENST00000367922	protein_coding	1	1	1	0	1	1	0	0	1	0
DDR2	ENSG00000162733	ENST00000446985	protein_coding	1	1	1	0	1	1	0	0	1	0
DDR2	ENSG00000162733	ENST00000672207	processed_transcript	0	0	2	0	0	0	2	0	0	0
FGFR1	ENSG00000077782	ENST00000326324	protein_coding	0	0	3	0	3	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000335922	protein_coding	0	1	2	0	2	1	0	1	0	0
