GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_upstream_gene_variant
AC058822.1	ENSG00000282278	ENST00000507166	protein_coding	0	0	1	0	0	1	0	0	0	0
AC087623.1	ENSG00000255201	ENST00000528407		0	0	1	0	1	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000288602	protein_coding	1	0	1	0	0	2	0	0	1	0
BRAF	ENSG00000157764	ENST00000496384	protein_coding	1	0	1	0	0	2	0	0	1	0
BRAF	ENSG00000157764	ENST00000497784	nonsense_mediated_decay	1	0	1	0	0	2	0	0	1	0
BRAF	ENSG00000157764	ENST00000642228	nonsense_mediated_decay	1	0	1	0	0	2	0	0	1	0
BRAF	ENSG00000157764	ENST00000642272	retained_intron	1	0	1	0	0	2	0	0	1	0
BRAF	ENSG00000157764	ENST00000642875	retained_intron	1	0	1	0	0	2	0	0	1	0
BRAF	ENSG00000157764	ENST00000643356	retained_intron	0	0	2	0	0	1	0	1	0	0
BRAF	ENSG00000157764	ENST00000644120	processed_transcript	1	0	1	0	0	2	0	0	1	0
BRAF	ENSG00000157764	ENST00000644650	nonsense_mediated_decay	0	0	2	0	0	0	0	0	0	2
BRAF	ENSG00000157764	ENST00000644905	retained_intron	1	0	1	0	0	2	0	0	1	0
BRAF	ENSG00000157764	ENST00000644969	protein_coding	1	0	1	0	0	2	0	0	1	0
BRAF	ENSG00000157764	ENST00000646730	nonsense_mediated_decay	1	0	1	0	0	2	0	0	1	0
BRAF	ENSG00000157764	ENST00000646891	protein_coding	1	0	1	0	0	2	0	0	1	0
BRAF	ENSG00000157764	ENST00000647434	nonsense_mediated_decay	0	0	2	0	0	0	0	0	0	2
DDR2	ENSG00000162733	ENST00000367921	protein_coding	0	0	2	1	0	1	0	0	0	0
DDR2	ENSG00000162733	ENST00000367922	protein_coding	0	0	2	1	0	1	0	0	0	0
DDR2	ENSG00000162733	ENST00000415555	protein_coding	0	0	1	0	0	1	0	0	0	0
DDR2	ENSG00000162733	ENST00000446985	protein_coding	0	0	2	0	0	2	0	0	0	0
DDR2	ENSG00000162733	ENST00000671979	protein_coding	0	0	1	0	0	1	0	0	0	0
DDR2	ENSG00000162733	ENST00000672207	processed_transcript	0	0	1	0	0	0	0	1	0	0
DDR2	ENSG00000162733	ENST00000673239	processed_transcript	0	0	1	0	0	0	0	1	0	0
EGFR	ENSG00000146648	ENST00000275493	protein_coding	0	0	3	0	0	3	0	0	0	0
EGFR	ENSG00000146648	ENST00000342916	protein_coding	0	0	3	0	1	2	0	0	0	0
EGFR	ENSG00000146648	ENST00000344576	protein_coding	0	0	3	0	1	2	0	0	0	0
EGFR	ENSG00000146648	ENST00000454757	protein_coding	0	0	3	0	0	3	0	0	0	0
EGFR	ENSG00000146648	ENST00000455089	protein_coding	0	0	3	0	0	3	0	0	0	0
EGFR	ENSG00000146648	ENST00000638463	protein_coding	0	0	3	0	0	3	0	0	0	0
FGFR1	ENSG00000077782	ENST00000326324	protein_coding	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000335922	protein_coding	0	1	0	0	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000341462	protein_coding	0	1	0	0	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000356207	protein_coding	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397090	retained_intron	0	0	1	0	0	0	0	1	0	0
FGFR1	ENSG00000077782	ENST00000397091	protein_coding	0	1	0	0	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397103	protein_coding	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397108	protein_coding	0	1	0	0	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397113	protein_coding	0	1	0	0	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000413133	protein_coding	0	1	0	0	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000425967	protein_coding	0	1	0	0	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000434187	protein_coding	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000447712	protein_coding	0	1	0	0	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000470826	retained_intron	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000474970	retained_intron	0	0	1	0	0	0	0	1	0	0
FGFR1	ENSG00000077782	ENST00000475621	retained_intron	0	0	1	0	0	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000484370	nonsense_mediated_decay	0	0	1	0	0	0	0	1	0	0
FGFR1	ENSG00000077782	ENST00000487647	nonsense_mediated_decay	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000496296	retained_intron	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000525001	protein_coding	0	1	0	0	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000526570	retained_intron	0	0	1	0	0	0	0	1	0	0
FGFR1	ENSG00000077782	ENST00000526742	protein_coding	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000527203	processed_transcript	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000529552	protein_coding	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000530568	protein_coding	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000530701	processed_transcript	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000532386	retained_intron	0	0	1	0	0	0	0	1	0	0
FGFR1	ENSG00000077782	ENST00000532791	protein_coding	0	1	0	0	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000533668	protein_coding	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000619564	protein_coding	0	0	1	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000649678	nonsense_mediated_decay	0	0	1	0	0	0	0	1	0	0
PDGFRA	ENSG00000134853	ENST00000257290	protein_coding	0	0	1	0	0	1	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000507536	retained_intron	0	0	1	0	1	0	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000509490	nonsense_mediated_decay	0	0	1	0	1	0	0	0	0	0
RN7SL861P	ENSG00000243173	ENST00000473793	misc_RNA	0	0	1	0	1	0	0	0	0	0
RPS20P22	ENSG00000239218	ENST00000473700	transcribed_processed_pseudogene	0	0	1	0	1	0	0	0	0	0
RPS20P22	ENSG00000239218	ENST00000488192	processed_transcript	0	0	1	0	1	0	0	0	0	0
